Название;Описание;Цена;Количество игроков;Время игры;Возрастное ограничение;Ссылка
Monopoly: Supernatural Join The Hunt;Эта работа... Деньги некогда потратить!;;_2-6;_60-180;16+;https://hobbygames.ru/monopoly-supernatural-join-the-hunt
Monopoly: Queen;It finally happened;;_2-6;_60-180;8+;https://hobbygames.ru/monopoly-queen
Monopoly: Naruto Shippuden;Если есть упорство, всё по плечу;;_2-6;_60-180;8+;https://hobbygames.ru/monopoly-naruto-shippuden
Monopoly: Friends The TV Series;О. Мой. Бог!;;_2-6;_60-180;8+;https://hobbygames.ru/monopoly-friends-the-tv-series
Монополия: Мегаполис;Это будет знатный небоскрёб;;_2-4;_60-180;8+;https://hobbygames.ru/monopolija-megapolis
Челюсти: семейная версия;Кап-кап-капы;;_2-4;_15+;6+;https://hobbygames.ru/cheljusti-semejnaja-versija
The #UpsideDownChallenge game;Всё кругом перевернулось!;;_2-6;_30;8+;https://hobbygames.ru/the-upsidedownchallenge-game
Чёрная соната;Тайна покрытая пылью веков;;_1;_30;12+;https://hobbygames.ru/chjornaja-sonata
Root: Подземный мир;Глубоко, глубоко живёт народ...;;_2-6;_60-90;10+;https://hobbygames.ru/root-podzemnij-mir
Tzolk'in: Племена и пророчества;Пророки предвещают беду!;;_2-5;_90+;14+;https://hobbygames.ru/tzolkin-plemena-i-prorochestva
Кринж;Bruh...;;_3-12;_25;18+;https://hobbygames.ru/krinzh
Mr. Jack;Безнаказанность или правосудие?;;_2;_30-45;9+;https://hobbygames.ru/mr-jack
Colt Express: Marshal & Prisoners;Никто не уйдёт от правосудия!;;_3-7;_40-45;10+;https://hobbygames.ru/colt-express-marshal-and-prisoners
Colt Express: Horses & Stagecoach;"""Андрюха, стук копыт! Возможно, дилижанс. По коням!""";;_2-6;_30-60;10+;https://hobbygames.ru/colt-express-horses-and-stagecoach
Рес Аркана: Свет и Тьма;Заполучите древние свитки и поработите демона!;;_2-5;_30-60;14+;https://hobbygames.ru/res-arkana-svet-i-tma
Рес Аркана: Жемчужная Империя;Новые эссенции, новые возможности;;_2-5;_30-60;14+;https://hobbygames.ru/res-arkana-zhemchuzhnaja-imperija
Bicycle Star Wars (синяя колода);Повстанцы дают отпор;;_1-7;_45+;18+;https://hobbygames.ru/bicycle-star-wars-sinjaja-koloda
Mandalorian;Малыш Йода в рукаве;;_1-7;_45+;18+;https://hobbygames.ru/cards-mandalorian
Avengers;"""К бою...""";;_1-7;_45+;18+;https://hobbygames.ru/cards-avengers
Bicycle Vintage classic;Прекрасный экспонат в вашу коллекцию;;_1-7;_45+;18+;https://hobbygames.ru/bicycle-vintage-classic
Этот безумный мир: кризис и процветание;По какому пути пойдёте?;;_1-7;_45+;12+;https://hobbygames.ru/jetot-bezumnij-mir-krizis-i-procvetanie
Тингвеллир;Загляните в новый лагерь;;_2-5;_45+;10+;https://hobbygames.ru/tingvellir
Восходящее солнце;Феодальная Япония в раздрае;;_3-5;_90-120;13+;https://hobbygames.ru/voshodjashhee-solnce
Эверделл: Фестиваль;Праздник длиною в год!;;_1-6;_40-120;10+;https://hobbygames.ru/jeverdell-festival
Племена;Доисторическое состязание;;_2-4;_30-60;12+;https://hobbygames.ru/plemena
Jinx (Джинкс);Везение или холодный расчёт?;;_2-4;_15-30;6+;https://hobbygames.ru/jinx-dzhinks
Палаточный городок: Загадки местности;Разбейте лагерь правильно!;;_1;_60+;5+;https://hobbygames.ru/palatochnij-gorodok-zagadki-mestnosti
Мультикубики: Логика сложения;Нескучная математика;;_1;_60+;5+;https://hobbygames.ru/multikubiki-logika-slozhenija
Ловкость акробата;Выстройте пирамиду!;;_1-2;_60+;3+;https://hobbygames.ru/lovkost-akrobata
Tomb of Annihilation;Непролазные джунгли, древние гробницы;;_1-5;_60+;14+;https://hobbygames.ru/tomb-of-annihilation
Waterdeep: Dungeon of the Mad Mage;Кто таится в Подгорье?;;_1-5;_60+;14+;https://hobbygames.ru/waterdeep-dungeon-of-the-mad-mage
Sidereal Confluence: Remastered Edition;Рыночная экономика в космосе;;_4-9;_120-180;14+;https://hobbygames.ru/sidereal-confluence-remastered-edition
SEAL Team Flix;Радуга на столе;;_1-4;_60;14+;https://hobbygames.ru/seal-team-flix
Hako Onna;Сыграем в прятки?;;_2-5;_90;14+;https://hobbygames.ru/hako-onna
Ettin;Союз нерушимый;;_2-8;_60+;14+;https://hobbygames.ru/ettin
Temple of Elemental Evil;Спутайте демонические планы!;;_1-5;_60+;14+;https://hobbygames.ru/temple-of-elemental-evil
Займи своё место!;Фигурка к фигурке;;_2;;5+;https://hobbygames.ru/zajmi-svojo-mesto
"Магнитная игра-головоломка ""Шустрый дозор. Построй сурикатов ряд""";Защитите свои территории!;;;;;https://hobbygames.ru/magnitnaja-igra-golovolomka-shustrij-dozor-postroj-surikatov-rjad
"Магнитная игра-головоломка ""Десятое королевство. Тайна замка""";Спасите принцессу из лап чудовища!;;;;;https://hobbygames.ru/magnitnaja-igra-golovolomka-desjatoe-korolevstvo-tajna-zamka
Кораблики;Отдать швартовы! Поднять паруса!;;_2-6;_10+;5+;https://hobbygames.ru/korabliki
"Магнитная игра-головоломка ""Тропики""";Множество диких зверей;;_2-4;_15+;3+;https://hobbygames.ru/magnitnaja-igra-golovolomka-tropiki
"Магнитная игра-головоломка ""Ледоход""";Увлекательное арктическое приключение;;_2-4;_15+;3+;https://hobbygames.ru/magnitnaja-igra-golovolomka-ledohod
"Викторина ""Дорожные знаки""";Учите ПДД играючи!;;_2-4;_15+;3+;https://hobbygames.ru/viktorina-dorozhnie-znaki
Жадный крот;Не самое лучшее качество;;_2-4;_15+;4+;https://hobbygames.ru/zhadnij-krot
Купи слона;Вот все так говорят, а вы купите;;_2-4;_15+;4+;https://hobbygames.ru/kupi-slona-v-zheleznoj-korobke
Говорящие кубики. Классик;И автор, и чтец;;_2;_15+;3+;https://hobbygames.ru/govorjashhie-kubiki-klassik
Гадание на бобах;На волшебных!;;_2;_15+;9+;https://hobbygames.ru/gadanie-na-bobah
"Магнитная игра ""Одевашки. Антошка""";Самый модный гардероб;;_2;_15+;3+;https://hobbygames.ru/magnitnaja-igra-odevashki-antoshka
"Магнитная игра ""Одевашки. Настя""";Одевайтесь по погоде!;;_2;_15+;3+;https://hobbygames.ru/magnitnaja-igra-odevashki-nastja
"Шахматы ""Парк юрского периода""";Король Рекс;;_2;_15+;6+;https://hobbygames.ru/shahmati-park-jurskogo-perioda
"Шахматы ""Гарри Поттер""";– Я думаю, нам придётся играть!;;_2;_15+;6+;https://hobbygames.ru/shahmati-garri-potter
Щелчок судьбы;Божественное противостояние;;_2-4;_15+;8+;https://hobbygames.ru/shhelchok-sudbi
Ми-ми-мишки: Пикник в лесу;Соберите всё необходимое!;;_2-4;_30;5+;https://hobbygames.ru/mi-mi-mishki-piknik-v-lesu
Город счастья;Здесь все рады!;;_2-5;_30;10+;https://hobbygames.ru/gorod-schastja
Гадание по славянским рунам;Узнайте свою судьбу;;_4+;_30+;9+;https://hobbygames.ru/gadanie-po-slavjanskim-runam
Нанокёрлинг (в тубусе);А где щётки?;;_4+;_30+;6+;https://hobbygames.ru/nano-kjorling-v-tubuse
Alias: Original (компактная версия);Кто во что горазд!;;_4+;_30+;10+;https://hobbygames.ru/kompaktnaja-igra-alias-skazhi-inache-2
Alias: Junior (компактная версия);Веселитесь от души, малыши!;;_4+;_30+;5+;https://hobbygames.ru/kompaktnaja-igra-alias-junior-skazhi-inache-2
Alias: Party (компактная версия);Веселье в любом месте!;;_4+;_30+;12+;https://hobbygames.ru/kompaktnaja-igra-alias-party-skazhi-inache-vecherinka-2
Alias Original;Говорите понятно и быстро!;;_4+;_60+;10+;https://hobbygames.ru/alias-original
Alias: Дамы против джентльменов;То ли ещё будет;;_4+;_30+;15+;https://hobbygames.ru/alias-dami-protiv-dzhentlmenov
Quarto! Mini (Кварто мини);Переиграйте и уничтожьте!;;_2;_10-20;8+;https://hobbygames.ru/quarto-mini
Экспресс-мороженое;Работа мечты!;;_2-4;_15;6+;https://hobbygames.ru/jekspress-morozhenoe
Челюсти;Для улыбки Гарольда;;_2-4;_15+;13+;https://hobbygames.ru/cheljusti
Сибирь: Начало;Тайга, степь и тундра;;_2-4;_60;8+;https://hobbygames.ru/sibir-nachalo
Фан-фанты;Только внимательный найдёт хамелеона!;;_2+;;3+;https://hobbygames.ru/fan-fanti
Посчитай овечек;Главное – не заснуть!;;_2-4;;4+;https://hobbygames.ru/poschitaj-ovechek
Кот мышелов;Не дайте сбежать грызунам!;;_2-4;;5+;https://hobbygames.ru/kot-mishelov
Клан Бро;"""Крокодил"" на кубиках";;;;3+;https://hobbygames.ru/klan-bro
Денежка. Без сдачи;Не дайте себя обсчитать!;390₽;_1-5;_60;4+;https://hobbygames.ru/denezhka-bez-sdachi
Гадание по скандинавским рунам;Предсказания северных народов;390₽;_2-6;_60;9+;https://hobbygames.ru/gadanie-po-skandinavskim-runam
"Викторина ""География""";Кругосветное путешествие на вашем столе;390₽;_2-6;_60;10+;https://hobbygames.ru/viktorina-geografija
Весёлое Сафари;Увлекательный мир животных;390₽;_2-4;_60;5+;https://hobbygames.ru/vesjoloe-safari
Киклады: Титаны;Ваша победа на их могучих плечах;390₽;_3-6;_60;14+;https://hobbygames.ru/kikladi-titani
Киклады: Монументы;"""Я монумент себе воздвиг нерукотворный...""";390₽;_2-5;_45;14+;https://hobbygames.ru/kikladi-monumenti
Шарлатаны из Кведлинбурга: Ведьмы-травницы;Кухня стала шире!;390₽;_2-5;_45+;10+;https://hobbygames.ru/sharlatani-iz-kvedlinburga-vedmi-travnici
Глен-Мор 2. Хроники;Расширяем территории, умножаем богатства;390₽;_2-4;_90-120;12+;https://hobbygames.ru/glen-mor-2-hroniki
Escape book: Шерлок Холмс и ловушка Мориарти;Станьте вторым Ватсоном;390₽;_2-4;_15;12+;https://hobbygames.ru/escape-book-sherlok-holms-i-lovushka-moriarti
Escape Book: Выжить в лабиринте;Выживите и расскажи всем правду;390₽;_2-4;_15;12+;https://hobbygames.ru/escape-book-vizhit-v-labirinte
Escape Book 2: Невидимая угроза;Станьте помощником главного героя!;390₽;_2-4;_15;12+;https://hobbygames.ru/escape-book-2-nevidimaja-ugroza
Лабиринт: Щенячий патруль;Суперщенки, вперёд!;390₽;_2-4;_15;4+;https://hobbygames.ru/labirint-shhenjachij-patrul
Живые Истории: Навстречу новым приключениям!;Герои и сюжеты;390₽;_2-6;_20;5+;https://hobbygames.ru/zhivie-istorii-navstrechu-novim-prikljuchenijam
Пути славы;Неисповедимы;;_2;_240;16+;https://hobbygames.ru/puti-slavi
Футбол (маленький);Соревнование бомбардиров;;_2;_120;5+;https://hobbygames.ru/futbol-malenkij
Футбол;Игра руками допускается;;_2;_120;5+;https://hobbygames.ru/futbolchik
Деревянный морской бой;"""Пушка! Они заряжают пушку!""";;_2;_120;5+;https://hobbygames.ru/derevjannij-morskoj-boj
"Плотина: Проект ""Легватер""";Голландцы в деле!;;_1-4;_120;14+;https://hobbygames.ru/plotina-proekt-legvater
Эверделл: Острые хребты;Познайте тайны гигантов!;;_1-4;_60-90;10+;https://hobbygames.ru/jeverdell-ostrie-hrebti
